"filename", "language", "Markdown", "XML", "JavaScript", "JavaScript JSX", "CSS", "JSON", "HTML", "SQL", "comment", "blank", "total"
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\TheSetting.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\TheUser.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\dashboard-components\TheAverageRevenue.jsx", "JavaScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\dashboard-components\TheCustomerReturn.jsx", "JavaScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\dashboard-components\TheRecetInvoice.jsx", "JavaScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\dashboard-components\TheRevenueVsOrder.jsx", "JavaScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\dashboard-components\TheSalesByCategory.jsx", "JavaScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\dashboard-components\TheTopProducts.jsx", "JavaScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 3, 33
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\product-components\TheDeleteConfirm.jsx", "JavaScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 0, 7, 53
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\product-components\TheImageMagnifier.jsx", "JavaScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 0, 5, 45
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\product-components\TheRecentInvoice.css", "CSS", 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\product-components\TheRecentInvoice.jsx", "JavaScript JSX", 0, 0, 0, 218, 0, 0, 0, 0, 0, 15, 233
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\product-components\TheUpdateModal.jsx", "JavaScript JSX", 0, 0, 0, 104, 0, 0, 0, 0, 0, 13, 117
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\product-components\TheViewModal.jsx", "JavaScript JSX", 0, 0, 0, 45, 0, 0, 0, 0, 0, 4, 49
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\user-components\TheUserDeleteModal.jsx", "JavaScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 0, 7, 53
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\user-components\TheUserRecentInvoice.css", "CSS", 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\user-components\TheUserRecentInvoice.jsx", "JavaScript JSX", 0, 0, 0, 194, 0, 0, 0, 0, 0, 16, 210
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\user-components\TheUserUpdateModal.jsx", "JavaScript JSX", 0, 0, 0, 104, 0, 0, 0, 0, 0, 13, 117
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-pages\user-components\TheUserViewModal.jsx", "JavaScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 0, 4, 41
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-routes\TheAdminRouter.css", "CSS", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\admin\admin-routes\TheAdminRouter.jsx", "JavaScript JSX", 0, 0, 0, 71, 0, 0, 0, 0, 0, 6, 77
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\checkout\TheCartItems.jsx", "JavaScript JSX", 0, 0, 0, 73, 0, 0, 0, 0, 1, 8, 82
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\men-page\TheCard.jsx", "JavaScript JSX", 0, 0, 0, 50, 0, 0, 0, 0, 0, 6, 56
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\men-page\data.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\sharedComponents\SearchComponent.jsx", "JavaScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 1, 12, 56
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\sharedComponents\TabbedSection.jsx", "JavaScript JSX", 0, 0, 0, 59, 0, 0, 0, 0, 0, 11, 70
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\sharedComponents\TheCard.jsx", "JavaScript JSX", 0, 0, 0, 48, 0, 0, 0, 0, 1, 6, 55
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\sharedComponents\carouselComponents\SecondSectionCarousel.jsx", "JavaScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 5, 6, 42
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\sharedComponents\carouselComponents\SecondSectionKids.jsx", "JavaScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 3, 7, 40
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\sharedComponents\carouselComponents\SecondSectionMen.jsx", "JavaScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 4, 7, 40
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\sharedComponents\carouselComponents\SecondSectionWomen.jsx", "JavaScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 3, 7, 40
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\sharedComponents\carouselComponents\TheHeroCarousel.jsx", "JavaScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 7, 6, 52
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\sharedComponents\carouselComponents\TheSecondSectionCarousel.jsx", "JavaScript JSX", 0, 0, 0, 88, 0, 0, 0, 0, 6, 14, 108
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\specificComponents\TailInfoSection.jsx", "JavaScript JSX", 0, 0, 0, 88, 0, 0, 0, 0, 4, 3, 95
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\specificComponents\TheFooter.jsx", "JavaScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 22
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\specificComponents\TheNavbar.jsx", "JavaScript JSX", 0, 0, 0, 92, 0, 0, 0, 0, 14, 15, 121
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\specificComponents\TheTopNavbarOne.jsx", "JavaScript JSX", 0, 0, 0, 52, 0, 0, 0, 0, 0, 6, 58
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\components\specificComponents\ThirdHomepageSection.jsx", "JavaScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 3, 16, 52
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\data\TheNavbarConfig.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\data\carousel-images\HeroCarouselImages.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\data\carousel-images\SecondSectionCarouselImages.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 3, 54
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\data\carousel-images\SecondSectionCarousel_KidsImages.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 3, 54
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\data\carousel-images\SecondSectionCarousel_MenImages.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 3, 54
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\src\data\carousel-images\SecondSectionCarousel_WomenImages.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 3, 54
